addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
2147 CHELSEA TERR,64820.0,2012,0.0,64820.0,3484.43,2808,027,15,0,1,1686.67,R-6,,,,,
2151 CHELSEA TERR,40650.0,2012,0.0,40650.0,1618.75,2808,029,15,0,1,1686.67,R-6,1700.0,0.0,1618.75,,182.0
2200 CHELSEA TERR,132700.0,2012,0.0,132700.0,21482.81,2826A,001,15,0,1,,R-5,,,,,
2305 CHELSEA TERR,162700.0,2012,0.0,162700.0,11413.16,2819,013,15,0,0,7200.0,R-4,,,,,
2313 CHELSEA TERR,225100.0,2012,0.0,225100.0,620.77,2819,015,15,1,0,8410.0,R-4,115601.77,5112.0,5732.77,"PLUTO 2013, LLC",154.0
2315 CHELSEA TERR,74063.0,2012,0.0,74063.0,2675.52,2819,016,15,0,1,8590.0,R-4,30000.0,74.0,2749.52,,89.0
2316 CHELSEA TERR,175000.0,2012,0.0,175000.0,6427.15,2826B,001,15,0,0,11197.33,R-4,81819.55,2363.0,8790.15,,34.0
2601 CHELSEA TERR,224497.0,2012,0.0,224497.0,6577.44,2834,008,15,1,0,6683.33,R-4,100350.16,2110.0,8687.44,RAI CUSTODIAN,200.0
2610 CHELSEA TERR,9800.0,2012,0.0,9800.0,600.28,2835,006,15,0,0,10554.24,R-4,,,,,
2702 CHELSEA TERR,136800.0,2012,0.0,136800.0,5657.37,2840,002,15,0,0,8568.74,R-4,,,,,
2711 CHELSEA TERR,142900.0,2012,0.0,142900.0,957.99,2839,002,15,1,0,6350.0,R-4,96607.66,7889.0,8846.99,"PLUTO 2013, LLC",154.0
2808 CHELSEA TERR,143000.0,2012,0.0,143000.0,4121.7,2845,005,15,0,0,6475.0,R-4,81864.0,4932.0,9053.7,,27.0
2809 CHELSEA TERR,159700.0,2012,0.0,159700.0,3736.43,2844,002,15,1,0,6375.0,R-4,87355.9,4695.0,8431.43,RAI CUSTODIAN,200.0
2810 CHELSEA TERR,142700.0,2012,0.0,142700.0,4371.73,2845,006,15,0,0,6475.0,R-4,81693.0,4922.0,9293.73,,27.0
